algorithm,accuracy,precision,recall,f1_score,AUPRC
tracks.csv KNN-Regressor Training,0.799368,0.744257,0.671826,0.692069,0.612974
tracks.csv KNN-Regressor Testing,0.746452,0.641024,0.599092,0.608021,0.483058
tracks.csv KNN-Classifier Training,0.813938,0.764162,0.70379,0.723909,0.649732
tracks.csv KNN-Classifier Testing,0.736984,0.628849,0.599543,0.607288,0.477862
tracks.csv Neural Network Training,0.609338,0.641129,0.68437,0.595067,0.626803
tracks.csv Neural Network Testing,0.607935,0.640406,0.684575,0.593327,0.625659
tracks.csv Decision Tree Classifier Training,0.994803,0.995972,0.990255,0.993072,0.99207
tracks.csv Decision Tree Classifier Testing,0.704606,0.610477,0.613971,0.612078,0.493674
tracks.csv Random Forest Classifier Training,0.994803,0.994682,0.991523,0.99309,0.991575
tracks.csv Random Forest Classifier Testing,0.788494,0.730082,0.634976,0.653244,0.574033
dataset.csv KNN-Regressor Training,0.992007,0.991656,0.991827,0.991741,0.992142
dataset.csv KNN-Regressor Testing,0.685307,0.674059,0.674426,0.674237,0.692175
dataset.csv KNN-Classifier Training,0.992007,0.991656,0.991827,0.991741,0.992142
dataset.csv KNN-Classifier Testing,0.685307,0.674059,0.674426,0.674237,0.692175
dataset.csv SVM Training,0.663651,0.657029,0.624071,0.621865,0.645853
dataset.csv SVM Testing,0.64943,0.636604,0.606837,0.603245,0.621113
dataset.csv Neural Network Training,0.554013,0.660487,0.609786,0.535264,0.71514
dataset.csv Neural Network Testing,0.551009,0.657467,0.608816,0.533253,0.71211
dataset.csv Decision Tree Classifier Training,0.993662,0.994607,0.992343,0.993436,0.995346
dataset.csv Decision Tree Classifier Testing,0.738026,0.728478,0.727885,0.728173,0.742745
dataset.csv Random Forest Classifier Training,0.993662,0.994039,0.992869,0.993443,0.994628
dataset.csv Random Forest Classifier Testing,0.813772,0.810942,0.799294,0.803661,0.817639
